age,slope,dem_cut,diff
55,-0.006071760361798659,-3.5106516080952423,NA
60,-0.018373325230365955,-3.559221039888008,NA
65,-0.027693877616714793,-3.822383681962081,NA
70,-0.037913788674149844,-4.699335671825887,3.709331753672278
75,-1.08072969067122e-6,-5.285806225332499,3.3617318654797304
80,0,-5.285806225332499,4.481177793472606
85,-0.11954954741258796,-5.285806225332499,3.821807939951916
90,-9.889533656808472e-4,-5.285806225332499,0.388578967026539695
95,-0.5,-5.285806225332499,9.426545307564034
