age,slope,dem_cut,diff
55,-0.011135776528453514,-3.2236097933664523,NA
60,-0.057304801674114454,-3.5452132157439444,NA
65,-0.05945679855975959,-3.5493644349697866,NA
70,-0.04645204610540436,-4.715308109738631,4.401403780759111
