age,slope,dem_cut,diff
55,-0.006071760361798659,-3.5106516080952423,NA
60,-0.018373325230365955,-3.559221039888008,NA
65,-0.027693877616714793,-3.822383681962081,NA
70,-0.037913788674149844,-4.699335671825887,3.709331753672278
75,-1.08072969067122e-6,-5.285806225332499,3.3617318654797304
80,0,-5.285806225332499,4.481177793472606
85,-0.028953901632446172,-5.285806225332499,2.2769321219777368
90,-0.04,-5.5,3.460876898640329
95,-0.045651828685523846,-5.508976921450101,3.9198288379348867
