num_obs,num_females,num_males,p_alive,p_alive_females,p_alive_males,mortality_HRs(F:M),at_risk_females,at_risk_males,mean_U_at_risk_females,mean_U_at_risk_males,inc_cases_females,inc_cases_males,dem_cases_females,dem_cases_males,PY_females,PY_males,dem_prob_females,dem_prob_males,sim_rates,sim_rates_females,sim_rates_males,IRRs(F:M),dem_HRs(F:M)
NA,NA,NA,0.3475844830858119,0.47027727493777044,0.219851141485086,0.5403994878954432,27669,16246.24,-0.16700906437259797,-0.16661459636656376,3610.01,1767.46,8721.56,4773.94,113228.92409458794,58971.23910156501,0.26605876849672155,0.24796183215066603,31.22820000000001,31.88312000000001,29.97166000000002,1.0639006571290126,1.00201933803721
NA,NA,NA,0.18347852492829295,0.272413851935651,0.09088879409233541,0.6183621462827219,16911.67,7597.78,-0.2686219605948046,-0.26981218736809637,2993.43,1099.03,9992.09,4237.99,59947.9638890576,23391.54985208839,0.41789763575890554,0.3947192248422891,49.10637000000003,49.93452999999997,46.98453000000001,1.0629293997124394,1.0031559557021918
NA,NA,NA,0.06173491391643748,0.09951117900978838,0.02240637084885675,0.7189424345166319,7375.18,2362.28,-0.3862866906692617,-0.3884747973530158,1419.13,368.85,7894.31,2445.27,20698.346402082447,5729.307846084523,0.569967338527122,0.5508985031161407,67.65746000000001,68.56622999999999,64.39611000000001,1.0660771096202313,1.0074954729339836
99675.8,50821.43,48854.37,0.9733059607030916,0.9794328707518107,0.9669326298106645,0.6179796046968774,50821.43,48854.37,0.0010947512762539365,0.0010660255398035256,277.54,263.03,277.54,263.03,251261.8382737764,240006.47937310807,0.005461038257214789,0.0053839835812313115,1.1003599999999996,1.1045200000000002,1.09591,1.008438485041952,1.0039758209454566
NA,NA,NA,0.9339002232218919,0.9516539992472173,0.9154325135647082,0.5255447480024724,49499.62,46977.15,-0.0023576968708669045,-0.002434306578636784,390.43,355.71,666.98,617.44,243661.06743905804,228282.79570700813,0.013399233572953067,0.013070903232404354,1.5810799999999998,1.6022800000000001,1.5582999999999998,1.0288561942616843,1.0197900079573654
NA,NA,NA,0.8767367966142052,0.9133283394153483,0.8386731285321063,0.4692928000165028,47706.87,44122.35,-0.01058460557746454,-0.010341315339105478,478.47,426.2,1135.99,1026.71,233302.17185896693,210874.68678248132,0.023487873102114597,0.022957755780309654,2.0366999999999997,2.05087,2.02114,1.0149166096544944,0.9992209782499081
NA,NA,NA,0.7934532816385151,0.8575253256728693,0.7268021253956317,0.44033371534270654,45310.38,40002.39,-0.023425701956567856,-0.023303099976365736,742.32,615.39,1848.58,1585.8,218883.7057665534,185804.78665224285,0.03982560374426187,0.03870427554660947,3.3549999999999986,3.39142,3.312079999999999,1.0238822430703716,0.9974806691850123
NA,NA,NA,0.6756263867345186,0.7718834172579934,0.5754954316645469,0.4506863325678891,41807.67,34066.39,-0.04471160728465159,-0.044588450674363955,1474.26,1087.36,3247.24,2528.41,196824.6489013637,150721.65147855075,0.07451209224727832,0.07120790902182916,7.370620000000002,7.490430000000001,7.21418,1.0385846902745268,1.0001418712423769
NA,NA,NA,0.522087507519787,0.6446147689930463,0.39462957177315094,0.47764507048904725,36191.24,25941.07,-0.08684234562886482,-0.08712217577268248,2708.67,1685.64,5745.6,3860,161928.14846367668,105802.14614393061,0.14646775292205752,0.1372912520080563,16.413299999999996,16.727880000000003,15.9321,1.0500831654569878,1.0006956992370086
NA,NA,NA,0.347360165564363,0.46992700693600853,0.21986015201724068,0.540390604738642,27645.56,16271.36,-0.16551799099610207,-0.1660560013987939,3597.24,1774.92,8711.86,4782.87,113119.69814443168,59013.440508822,0.2659310966257173,0.24808136634662797,31.209459999999993,31.800980000000013,30.076019999999993,1.0574841871900236,0.9956050294420721
NA,NA,NA,0.18334434899918509,0.27223816207676715,0.09087317577207203,0.6178936408959353,16895.63,7598.12,-0.26716613409935425,-0.2661333759049572,2991.45,1097.45,9978.16,4240.39,59904.03295864092,23403.375741957825,0.4178071222857351,0.394775606534334,49.08310000000002,49.93889999999997,46.890820000000005,1.0653123647923797,1.0059508718399124
NA,NA,NA,0.06170946976145742,0.09948894473823142,0.02241002886448345,0.7188371766431151,7373.39,2370.42,-0.3852303845500982,-0.3837073933450501,1418.41,369.78,7880.5,2438.87,20727.04984302041,5744.266807389712,0.569594028390413,0.549358024230624,67.55842000000001,68.44180999999999,64.37688999999999,1.0638944835100783,1.0047699922445301
